 Jday Time  Duration Range(km)
  131 23:15    0      8.648
  131 23:16    1      8.502
  131 23:17    2      8.368
  131 23:18    3      8.219
  131 23:19    4      8.083
  131 23:20    5      7.932
  131 23:21    6      7.780
  131 23:22    7      7.627
  131 23:23    8      7.495
  131 23:24    9      7.343
  131 23:25   10      7.192
  131 23:26   11      7.042
  131 23:27   12      6.891
  131 23:29   14      6.573
  131 23:30   15      6.423
  131 23:31   16      6.273
  131 23:32   17      6.104
  131 23:33   18      5.953
  131 23:34   19      5.802
  131 23:35   20      5.651
  131 23:36   21      5.519
  131 23:37   22      5.368
  131 23:38   23      5.218
  131 23:39   24      5.087
  131 23:40   25      4.938
  131 23:41   26      4.790
  131 23:42   27      4.641
  131 23:43   28      4.530
  131 23:44   29      4.381
  131 23:45   30      4.251
  131 23:46   31      4.103
  131 23:47   32      3.955
  131 23:48   33      3.825
  131 23:49   34      3.677
  131 23:50   35      3.529
  131 23:51   36      3.382
  131 23:52   37      3.254
  131 23:53   38      3.108
  131 23:54   39      2.981
  131 23:55   40      2.838
  131 23:56   41      2.714
  131 23:57   42      2.574
  131 23:58   43      2.453
  131 23:59   44      2.316
  132 00:00   45      2.196
  132 00:01   46      2.064
  132 00:02   47      1.930
  132 00:03   48      1.800
  132 00:04   49      1.690
  132 00:05   50      1.567
  132 00:06   51      1.442
  132 00:07   52      1.345
  132 00:08   53      1.241
  132 00:09   54      1.147
  132 00:10   55      1.067
  132 00:11   56      1.001
  132 00:12   57      0.948
  132 00:13   58      0.919
  132 00:14   59      0.903
  132 00:15   60      0.905
  132 00:16   61      0.959
  132 00:17   62      1.019
  132 00:18   63      1.097
  132 00:19   64      1.172
  132 00:20   65      1.286
  132 00:21   66      1.396
  132 00:22   67      1.523
  132 00:23   68      1.655
  132 00:24   69      1.778
  132 00:25   70      1.905
  132 00:26   71      2.046
  132 00:27   72      2.179
  132 00:28   73      2.323
  132 00:29   74      2.460
  132 00:30   75      2.608
  132 00:31   76      2.756
  132 00:32   77      2.896
